item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo
21567918,Bence (2003),Habitat characteristics of harvest mouse nests on arable farmland,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+characteristics+of+harvest+mouse+nests+on+arable+farmland&btnG=&hl=en&as_sdt=0%2C5,"Field margin, beetlebank",UK,UK,"Loddington, Leicestershire",52.614821,-0.830662,Observational,,<1,04-Jun,,,Farm scale,,,,,,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"""The field margins were at least 1 m wide and most were adjacent to hedgerows composed predominantly of hawthorn Crataegus monogyna but with other shrub species also present. The herbaceous strata were perennial grasses and herbs. The field margins were generally uncut, except where necessary to prevent suckering of blackthorn Prunus spinosa.""",,,Shrubs,"""The field margins were at least 1 m wide and most were adjacent to hedgerows composed predominantly of hawthorn Crataegus monogyna but with other shrub species also present. The herbaceous strata were perennial grasses and herbs. The field margins were generally uncut, except where necessary to prevent suckering of blackthorn Prunus spinosa.""",,,,,Other (please specify),"Beetlebanks: ""Beetle banks were soil banks 2.0–2.5 m wide, up to 500 m long, sown with tussock forming grasses, such as cocksfoot Dactylis glomerata and located down the centre of fields to provide overwintering habitat for predatory arthropods... cut regularly during the first year of growth to encourage tillering of the grasses. Thereafter the beetle banks remained uncut.""",,,Within field,Field edge,,,,,,,,,Cut,"""...uncut, except where necessary to prevent suckering of blackthorn Prunus spinosa""",,,,,,,,,,,,
21567923,Bereswill (2012),Entry and toxicity of organic pesticides and copper in vineyard streams: Erosion rills jeopardise the efficiency of riparian buffer strips,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Entry+and+toxicity+of+organic+pesticides+and+copper+in+vineyard+streams:+Erosion+rills+jeopardise+th&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer strip,Germany,Germany,"Neustadt region, Palatinate vineyard region",51.074666,13.774113,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,,,Conventional,,,,,,,,,Viticulture,,,,,,,,,,,,,,,,,,,,,,Not described,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21567929,Besnard (2014),Hedgerows diminish the value of meadows for grassland birds: Potential conflicts for agri-environment schemes,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Hedgerows+diminish+the+value+of+meadows+for+grassland+birds:+Potential+conflicts+for+agri-environmen&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,France,France,"Loire valley, Western France",47.392181,0.060249,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,,,,,,Not described,,,,,,,,,,,Grassland,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567931,Bharati (2002),"Soil-water infiltration under crops, pasture, and established riparian buffer in Midwestern USA",2002,2000-2004,"http://scholar.google.co.uk/scholar?q=Soil-water+infiltration+under+crops,+pasture,+and+established+riparian+buffer+in+Midwestern+USA&btnG=&hl=en&as_sdt=0%2C5",Multispecies riparian buffer,USA,"Iowa, USA","Near Creek, Story County (42 11 N, 93 30 W)",42.182677,-93.501316,,Manipulative,<1,5,,,,Catchment scale,,,,Q2,Q3,Q4,,,,Not described,Livestock,,Cropped fields (arable),Corn and soybean,,,,,,,,,,,,,Grasses,,,,Shrubs,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21567939,Bianchi (2008),Effects of flower attractiveness and nectar availability in field margins on biological control by parasitoids,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Effects+of+flower+attractiveness+and+nectar+availability+in+field+margins+on+biological+control+by+p&btnG=&hl=en&as_sdt=0%2C5,Flower strip,Switzerland,Switzerland,"Haeflinger, Herzogenbuchsee",47.187293,7.699741,Observational,,<1,Not stated,Plot scale,,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),Cabbage,,,,,,,,,,,,,,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567952,Birkhofer (2014),Grassy margins along organically managed cereal fields foster trait diversity and taxonomic distinctness of arthropod communities,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Grassy+margins+along+organically+managed+cereal+fields+foster+trait+diversity+and+taxonomic+distinct&btnG=&hl=en&as_sdt=0%2C5,Grassy margin,Germany,Germany,"Northeim, Lower Saxony",51.700178,9.995906,Observational,,2,Not stated,,Field scale,,,,,,Q2,Q3,,,,Organic,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"""unsown boundary areas with the vegetation being dominated by grasses""",,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567958,Blagodatskii (2008),Microbial biomass and growth kinetics of microorganisms in chernozem soils under different land use modes,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Microbial+biomass+and+growth+kinetics+of+microorganisms+in+chernozem+soils+under+different+land+use+&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Russia,"Central district, Russia","Dokuchaev Research Institute of Agriculture, Kemannaya Step",51.675497,39.208882,Observational,,<1,105,Plot scale,,,,,,,Q2,,,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567962,Blake (2011),Enhancing habitat to help the plight of the bumblebee,2011,2010-2014,http://scholar.google.co.uk/scholar?q=Enhancing+habitat+to+help+the+plight+of+the+bumblebee&btnG=&hl=en&as_sdt=0%2C5,Grass buffer strip,UK,UK,Southern England,51.478152,-1.247008,,Manipulative,3,3,Plot scale,,,,,,,Q2,Q3,,,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,Pesticide,,,,,
21567964,Blake (2011),Novel margin management to enhance Auchenorrhyncha biodiversity in intensive grasslands,2011,2010-2014,http://scholar.google.co.uk/scholar?q=Novel+margin+management+to+enhance+Auchenorrhyncha+biodiversity+in+intensive+grasslands&btnG=&hl=en&as_sdt=0%2C5,Field margin,UK,UK,"Bickenhall (50 58 47 N, 2 59 29 W) and South Hill (50 57 40 N, 3 02 53 W) in Somerset, and Heywoods (50 48 38 N, 3 55 40 W) and North Wyke (50 46 14 N, 3 55 46 W) in Devon",50.921121,-3.297387,,Manipulative,3,3,Plot scale,,Farm scale,,,,,,Q3,,,Conventional,,,Livestock,,,,,,,,,,,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,,,Soil amendment,Fertilised (inorganic),,,Cut,,Grazed,,,,,,,,,,,
21567965,Blake (2011),New tools to boost butterfly habitat quality in existing grass buffer strips,2011,2010-2014,http://scholar.google.co.uk/scholar?q=New+tools+to+boost+butterfly+habitat+quality+in+existing+grass+buffer+strips&btnG=&hl=en&as_sdt=0%2C5,Grass buffer strip,UK,UK,"Aborfield (51 23 39 N, 0 55 08 W) and North Sydmonton (51 21 31 N, 1 17 21 W), Berkshire",51.372356,-1.106268,,Manipulative,1,1,Plot scale,,Farm scale,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"6m wide strips: ""basic grass mixture including D. glomerata, Phleum pratense L. (timothy), and F.rubra, and sown at a rate of 20 kg ha-1""",Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,Soil disturbed,,Cut,,,,,,Sown/planted,,Pesticide,,,,,
21567966,Blake (2013),Novel management to enhance spider biodiversity in existing grass buffer strips,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Novel+management+to+enhance+spider+biodiversity+in+existing+grass+buffer+strips&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,UK,UK,"Two farms in Berkshire (Aborfield, 51 23 39 N, 0 55 08 W; North Sydmonton, 51 21 31 N, 1 17 21 W) and one farm in Hampshire (Ramsdell, 51 17 29 N, 1 08 16 W)",51.270995,-1.282749,,Manipulative,2,1,Plot scale,,Farm scale,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),"winter wheat, winter barley, oilseed rape and winter beans ",,,,,,,,,,,,,Grasses,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,Soil disturbed,,,,,,,,Sown/planted,,Pesticide,,,,,
21567969,Blanco-Canqui (2004),"Grass barrier and vegetative filter strip effectiveness in reducing runoff, sediment, nitrogen, and phosphorus loss",2004,2000-2004,"http://scholar.google.co.uk/scholar?q=Grass+barrier+and+vegetative+filter+strip+effectiveness+in+reducing+runoff,+sediment,+nitrogen,+and+&btnG=&hl=en&as_sdt=0%2C5","Grass barrier, vegetated filter strip",USA,"Missouri, USA","University of Missouri's Bradford Centre, Columbia, Missouri",38.892938,-92.200954,,Manipulative,1,1,Plot scale,,,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,Switchgrass barriers and fescue or native plant filter strips,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,Sown/planted,,,,,,,
21567970,Blanco-Canqui (2014),Soil Carbon Accumulation under Switchgrass Barriers,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Soil+Carbon+Accumulation+under+Switchgrass+Barriers&btnG=&hl=en&as_sdt=0%2C5,Switchgrass barrier,USA,"Nebraska, USA","University of Nebraska’s Rogers Memorial Farm, Lincoln, Nebraska",40.825763,-96.685198,,Manipulative,<1,15,Plot scale,,,,,,,,Q3,,,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,Panicum virgatum,,,,,,,,,,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21567973,Blattel (2009),Ground Water Nitrogen Dynamics in Giant Cane and Forest Riparian Buffers,2009,2005-2009,http://scholar.google.co.uk/scholar?q=Ground+Water+Nitrogen+Dynamics+in+Giant+Cane+and+Forest+Riparian+Buffers&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Illinois, USA","Big Creek (37 24 37 N, 89 9 15 W), Cypress Creek (37 24 57 N, 89 4 58 W), Cache River (37 16 29 N, 89 10 26 W), Illinois",37.262408,-89.136225,Observational,,1,Not stated,,,,,Regional scale,,,Q2,,,,,,Not described,,,Cropped fields (arable),"Zea mays, Glycine max",,,,,,,,,,,,,Grasses,Giant cane,,,,,,,Trees,Hardwood forest,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21567975,Blomqvist (2009),No improvement of plant biodiversity in ditch banks after a decade of agri-environment schemes,2009,2005-2009,http://scholar.google.co.uk/scholar?q=No+improvement+of+plant+biodiversity+in+ditch+banks+after+a+decade+of+agri-environment+schemes&btnG=&hl=en&as_sdt=0%2C5,Ditch bank,The Netherlands,Netherlands,"Western Peat District (51 51-52 07 N, 4 45-5 08 E)",51.989708,4.933146,Observational,,10,10,,,,,Regional scale,,,Q2,Q3,,,,,Not described,Livestock,Dairy,,,,,,,,,,,,,,,Grasses,Wet grassland vegetation 0.5-1.5 m wide,,,,,,,,,,,,,,,Riparian,,,,,,,,Cut,,Grazed,,,,,,,,Managed (other),Ditches cleaned once annually,,
21567976,Blundell (1974),Evaporation to leeward of a shelterbelt,1974,1970-1974,http://scholar.google.co.uk/scholar?q=Evaporation+to+leeward+of+a+shelterbelt&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,UK,UK,"Stockbridge House EHS, Cawood, Yorkshire",53.824829,-1.150522,,Manipulative,<1,20,,Field scale,,,,,,Q2,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,Deciduous shelterbelt (6 m high),,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567984,Bodah (2013),Effective suspended sediment and soluble nutrient load mitigation in irrigated agricultural return flows through the use of vegetative filter strips,2013,2010-2014,http://scholar.google.co.uk/scholar?q=Effective+suspended+sediment+and+soluble+nutrient+load+mitigation+in+irrigated+agricultural+return+f&btnG=&hl=en&as_sdt=0%2C5,Vegetative filter strip,USA,"Washington, USA","Yakima River Basin, Washington",46.252913,-119.230849,,Manipulative,1,1,Plot scale,,,,,,,,,,Not described,Conventional,,,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"‘Baronesse’ barley (Hordeum vulgareL.), alfalfa (Medicago sativa L.) / arrowleaf clover (Trifolium vesiculosum Savi.), Bromar mountain bromegrass (Bromus marginatus), and Rosana western wheatgrass (Pascopyrum smithii (Rydb.) A. Love). ",,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,
21567988,Bokenstrand (2004),Establishment of vegetation in broadened field boundaries in agricultural landscapes,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Establishment+of+vegetation+in+broadened+field+boundaries+in+agricultural+landscapes&btnG=&hl=en&as_sdt=0%2C5,Field boundary,Sweden,Sweden,"Kasby farm, Uppsala (59 51 N, 17 41 E) and Ekenäs Research Station, Flen (58 48 N, 16 44 E)",59.016667,17.016667,,Manipulative,04-Jun,07-Aug,Plot scale,,Farm scale,,,,,,,,Not described,Conventional,Organic,,Livestock,Dairy,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,Wildflowers,,Shrubs,,,,,,,,,,,Field edge,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21567990,Boller (1988),"Hedges as potential sources of Typhlodromus pyri, the most important predatory mite in vineyards of northern Switzerland",1988,1985-1989,"http://scholar.google.co.uk/scholar?q=Hedges+as+potential+sources+of+Typhlodromus+pyri,+the+most+important+predatory+mite+in+vineyards+of+&btnG=&hl=en&as_sdt=0%2C5",Hedge,Switzerland,Switzerland,"Vineyards in the cantons of Schaffhausen, Aargau, Bern, St. Gallen and Zurich ",47.410834,8.361625,Observational,,3,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,,,,,Viticulture,,,,,,,,,,,,,,,,Hedgerow,,Trees,Forest margins,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567993,Bollinger (1985),Factors influencing blackbird damage to field corn,1985,1985-1989,http://scholar.google.co.uk/scholar?q=Factors+influencing+blackbird+damage+to+field+corn&btnG=&hl=en&as_sdt=0%2C5,Hedge,USA,"New York, USA","Montezuma National Wildlife Refuge (MNWR) in Cayuga County, New York",42.96266,-76.740947,Observational,,<1,Not stated,,Field scale,,,Regional scale,,,,Q3,,,,,Not described,,,Cropped fields (arable),Corn,,,,,,,,,,,,,,,,,,,Hedgerow,"Woodlots, trees and bushy hedgerows",Trees,"Woodlots, trees and bushy hedgerows",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21567994,Bonifacio (2011),The effect of woody plant diversity and other stand and landscape factors on the diversity and abundance of birds using farm shelterbelts,2011,2010-2014,http://scholar.google.co.uk/scholar?q=The+effect+of+woody+plant+diversity+and+other+stand+and+landscape+factors+on+the+diversity+and+abund&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Australia,"New South Wales, Australia",Central-west New South Wales,-32.388109,144.131284,Observational,,2,7,,,,,Regional scale,,Q1,Q2,Q3,Q4,,,,Not described,Livestock,,,,,,,,,,,,,,,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568001,Borin (2010),Multiple functions of buffer strips in farming areas,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Multiple+functions+of+buffer+strips+in+farming+areas&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,Italy,Italy,"Legnaro core experiments, Padova University (45 12' N, 11 58' E)",45.19996,11.966724,,Manipulative,5,4,Plot scale,,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),"Maize, soybean, sugarbeet",,,,,,,,,,,,,,,,,Shrubs,Viburnum opulus,,,Trees,Platanus hybrida,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568002,Borin (2005),Effectiveness of buffer strips in removing pollutants in runoff from a cultivated field in North-East Italy,2005,2005-2009,http://scholar.google.co.uk/scholar?q=Effectiveness+of+buffer+strips+in+removing+pollutants+in+runoff+from+a+cultivated+field+in+North-Eas&btnG=&hl=en&as_sdt=0%2C5,Buffer strip,Italy,Italy,"Experimental farm of Padova University (45 12' N, 11 58' E)",45.19996,11.966724,,Manipulative,4,4,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),"Winter wheat, maize, soybean",,,,,,,,,,,,,Grasses,Festuca arundinacea,,,Shrubs,Viburnum opulus,,,Trees,Platanus hybrida,,,,,,Field edge,,,,,,,,,Cut,,,,,,Sown/planted,,,,,,,
21568011,Botias (2015),"Neonicotinoid Residues in Wildflowers, a Potential Route of Chronic Exposure for Bees",2015,2015-2016,"http://scholar.google.co.uk/scholar?q=Neonicotinoid+Residues+in+Wildflowers,+a+Potential+Route+of+Chronic+Exposure+for+Bees&btnG=&hl=en&as_sdt=0%2C5",Field margin,UK,UK,"East Sussex, south-east England",50.961141,0.238563,Observational,,<1,Not stated,,Field scale,Farm scale,,,,,Q2,,,,Conventional,,,,,Cropped fields (arable),Winter wheat or winter oilseed rape,,,,,,,,,,,,,,,Wildflowers,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568012,Boughey (2011),Improving the biodiversity benefits of hedgerows: How physical characteristics and the proximity of foraging habitat affect the use of linear features by bats,2011,2010-2014,http://scholar.google.co.uk/scholar?q=Improving+the+biodiversity+benefits+of+hedgerows:+How+physical+characteristics+and+the+proximity+of+&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,UK,UK,UK (nationwide survey),52.831319,-1.770154,Observational,,10,Not stated,,,,,Regional scale,,,,Q3,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568013,Boutin (1998),Intensity of agricultural practices and effects on adjacent habitats,1998,1995-1999,http://scholar.google.co.uk/scholar?q=Intensity+of+agricultural+practices+and+effects+on+adjacent+habitats&btnG=&hl=en&as_sdt=0%2C5,"Woodlot edge, hedgerow",Canada,"Québec, Canada","Richelieu River watershed (45 30' to 46 06' N, 73 30' to 73 20' E)",45.77484,73.273255,Observational,,<1,Not stated,Plot scale,,,,Regional scale,,,,Q3,,,Conventional,,,Livestock,,Cropped fields (arable),,,,,,,,,,,,,,,,,,Shrubs,,,,Trees,"Sugar maple, beech, hickory, basswood",,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568014,Boutin (2003),"Importance of riparian habitats to flora conservation in farming landscapes of southern Quebec, Canada",2003,2000-2004,"http://scholar.google.co.uk/scholar?q=Importance+of+riparian+habitats+to+flora+conservation+in+farming+landscapes+of+southern+Quebec,+Cana&btnG=&hl=en&as_sdt=0%2C5",Riparian strip,Canada,"Québec, Canada","Boyer River watershed (46 46 N, 70 57 W)",46.766667,-70.95,Observational,,1 year,Not stated,Plot scale,,,Catchment scale,,,,Q2,Q3,,,,,Not described,Livestock,,,,,,,,,,Grassland,,,,,,Grasses,Herbaceous strips dominated by grasses and devoid of woody species,,,Shrubs,"Small (<2m) shrubs, tall (2-10m) shrubs",,,Trees,Mature trees (>10m),Other (please specify),Herbaceous strips dominated by forbs devoid of woody species,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21568019,Bowling (2014),Influence of landscape composition on northern bobwhite population response to field border establishment,2014,2010-2014,http://scholar.google.co.uk/scholar?q=Influence+of+landscape+composition+on+northern+bobwhite+population+response+to+field+border+establis&btnG=&hl=en&as_sdt=0%2C5,Field border,USA,"North Carolina and South Carolina, USA","North Carolina and South Carolina, regional study",multiple,multiple,Observational,,3,Not stated,,Field scale,,,Regional scale,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,,,,,,,,,,,Other (please specify),"""Linear strips of fallow vegetation"" ""Fallow borders consisted of various species of forbs (old field aster [Aster spp.], common ragweed [Ambrosia artemisiifolia], horseweed [Conzya canadensis], dogfennel [Eupatorium capillifolium], morning glory [Ipomoea spp.], prickly lettuce [Lactuca serriola], Chinese lespedeza [Lespedeza cuneata], bicolor lespedeza [Lespedeza bicolor], American pokeweed Phytolacca americana], pigweed [Portulaca oleracea], java-bean [Senna obtusifolia], goldenrod [Solidago spp.], and clover [Trifolium spp.]), grasses (broomsedge [Andropogon virginicus], common oat [Avena spp.], bermudagrass [Cynodon dactylon], and tall fescue [Schedonorus arundinaceus]), shrubs (baccharis [Baccharis halimifolia], and blackberry [Rubus argutus]), and seedling trees (red maple [Acer rubrum], sweetgum [Liquidambar styraciflua], loblolly pine [Pinus taeda], longleaf pine [Pinus palustris], black cherry [Prunus serotina], and oak [Quercus spp.])""",,,,Field edge,,,,,,,,,,,,,,,,,,,Managed (other),"""A third of the border typically is disturbedeach year to maintain early successional cover""",,
21568022,Bradburn (2010),Evaluation of riparian forests established by the Conservation Reserve Enhancement Program (CREP) in Virginia,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Evaluation+of+riparian+forests+established+by+the+Conservation+Reserve+Enhancement+Program+(CREP)+in&btnG=&hl=en&as_sdt=0%2C5,Forest riparian buffer,USA,"Virginia, USA","Coastal Plain, Piedmond, Ridge and Valley regions, Virginia",37.333559,-78.344406,Observational,,<1,03-May,Plot scale,,,,Regional scale,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,Managed (other),"Tree protection tubes, plastic matting, fencing",,
21568024,Bradbury (2000),Habitat associations and breeding success of yellowhammers on lowland farmland,2000,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+associations+and+breeding+success+of+yellowhammers+on+lowland+farmland&btnG=&hl=en&as_sdt=0%2C5,"Field boundary, hedgerow",UK,UK,"Oxfordshire, Wiltshire and Warwickshire",51.743295,-1.544014,Observational,,4,Not stated,,,,,Regional scale,,,Q2,Q3,,,Conventional,Organic,,Livestock,,Cropped fields (arable),,,,,,,,Grassland,,,,,,,,,,,,Hedgerow,,,,,,Not described,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568025,Bradley (2011),Nitrous oxide production and potential denitrification in soils from riparian buffer strips: Influence of earthworms and plant litter,2011,2010-2014,http://scholar.google.co.uk/scholar?q=Nitrous+oxide+production+and+potential+denitrification+in+soils+from+riparian+buffer+strips:+Influen&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer strip,Canada,"Québec, Canada","Northeast of Bedford (45 07 N, 72 59 W)",45.116667,-72.983333,Observational,,<1,Not stated,,Field scale,,,,,,,,Q4,,,,Not described,,,Cropped fields (arable),Maize,,,,,,,,,,,,,Grasses,"Switchgrass (Panicum virginatum), hay mixtures (Timothy [Phleum pratense], fescue [Festuca sp.], clover [Trifolium sp.], etc.)",,,,,,,,,,,,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,
21568027,Bragan (1997),Shallow groundwater denitrification rate measurement by acetylene block,1997,1995-1999,http://scholar.google.co.uk/scholar?q=Shallow+groundwater+denitrification+rate+measurement+by+acetylene+block&btnG=&hl=en&as_sdt=0%2C5,"Grass strip, riparian woods",USA,"Maryland, USA","Uniersity of Maryland's Wye Research and Education Center, Queenstown",38.912012,-76.150747,Observational,,<1,Not stated,Plot scale,,,,,,,Q2,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,,,,,,,,Trees,,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,
21568028,Brambilla (2009),"GIS-models work well, but are not enough: Habitat preferences of Lanius collurio at multiple levels and conservation implications",2009,2005-2009,"http://scholar.google.co.uk/scholar?q=GIS-models+work+well,+but+are+not+enough:+Habitat+preferences+of+Lanius+collurio+at+multiple+levels+&btnG=&hl=en&as_sdt=0%2C5",Hedge,Italy,Italy,Lombardy,45.479055,9.845043,Observational,,<1,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568033,Brickle (2000),Habitat use by Corn Buntings Miliaria calandra in winter and summer,2000,2000-2004,http://scholar.google.co.uk/scholar?q=Habitat+use+by+Corn+Buntings+Miliaria+calandra+in+winter+and+summer&btnG=&hl=en&as_sdt=0%2C5,Grassy margin,UK,UK,"North of Worthing, West Sussex (TQ0306-TQ2013)",50.857947,-0.388971,Observational,,2,Not stated,,,,,Regional scale,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
21568034,Bright (2004),Insects on farmland and their importance to granivorous birds,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Insects+on+farmland+and+their+importance+to+granivorous+birds&btnG=&hl=en&as_sdt=0%2C5,Uncropped margin,UK,UK,20 mile radius around Sirling University,56.149809,-3.933458,Observational,,2,Not stated,,,,,Regional scale,,,Q2,Q3,,,,,Not described,Livestock,,Cropped fields (arable),"Wheat, barley, oil seed rape, set-aside, silage",,,,,,,Grassland,,,,,,Grasses,,,,,,Hedgerow,,,,Other (please specify),Fence (included in uncropped margin description),,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,
