item_id,short_title,title,year,period,google_scholar_link,vegetated_strip_description,nation,study_country,study_location,latitute,longitude,studydesign_observational,studydesign_manipulative,Study length (years),Time since intervention (years),spatialscale_plot,spatialscale_field,spatialscale_farm,spatialscale_catchment,spatialscale_regional,spatialscale_notdescribed,measurementquarter_Q1,measurementquarter_Q2,measurementquarter_Q3,measurementquarter_Q4,measurementquarter_notdescribed,farmingsystem_conventional,farmingsystem_organic,farmingsystem_notdescribed,farmingproductionsystem_livestock,farmingproductionsystem_livestockinfo,farmingproductionsystem_croppedfields,farmingproductionsystem_croppedfieldsinfo,farmingproductionsystem_horticulture,farmingproductionsystem_horticultureinfo,farmingproductionsystem_viticulture,farmingproductionsystem_viticultureinfo,farmingproductionsystem_fruit,farmingproductionsystem_fruitinfo,farmingproductionsystem_grassland,farmingproductionsystem_grasslandinfo,farmingproductionsystem_other,farmingproductionsystem_otherinfo,farmingproductionsystem_notdescribed,farmingproductionsystem_notdescribedinfo,vegetationtype_grasses,vegetationtype_grassesinfo,vegetationtype_wildflowers,vegetationtype_wildflowersinfo,vegetationtype_shrubs,vegetationtype_shrubsinfo,vegetationtype_hedgerow,vegetationtype_hedgerowinfo,vegetationtype_trees,vegetationtype_treesinfo,vegetationtype_other,vegetationtype_otherinfo,vegetationtype_notdescribed,vegetationtype_notdescribedinfo,striplocation_withinfield,striplocation_fieldedge,striplocation_riparian,striplocation_notdescribed,stripmanagement_unmanaged,stripmanagement_unmanagedinfo,stripmanagement_soilamendment,stripmanagement_soilamendmentinfo,stripmanagement_soildisturbed,stripmanagement_soildisturbedinfo,stripmanagement_cut,stripmanagement_cutinfo,stripmanagement_grazed,stripmanagement_grazedinfo,stripmanagement_harvested,stripmanagement_harvestedinfo,stripmanagement_sownplanted,stripmanagement_sownplantedinfo,stripmanagement_pesticide,stripmanagement_pesticideinfo,stripmanagement_managedother,stripmanagement_managedotherinfo,stripmanagement_notdescribed,stripmanagement_notdescribedinfo,intervention_presence,intervention_presenceinfo,intervention_location,intervention_locationinfo,intervention_dimension,intervention_dimensioninfo,intervention_structure,itervention_structureinfo,intervention_management,intervention_managementinfo,intervention_vegetationtype,intervention_vegetationtypeinfo,intervention_management,intervention_managementinfo,intervention_other,intervention_otherinfo,intervention_transect,intervention_transectinfo,intervention_notdescribed,intervention_notdescribedinfo,outcome_biodiversityaquatic,outcome_biodiversityaquaticinfo,outcome_biodiversitysemiaquatic,outcome_biodiversitysemiaquaticinfo,outcome_biodiversityterrestrial,outcome_biodiversityterrestrialinfo,outcome_pollination,outcome_pollinationinfo,outcome_gamespecies,outcome_gamespeciesinfo,outcome_pestcontrol,outcome_pestcontrolinfo,outcome_nutrientsn,outcome_nutrientsninfo,outcome_nutrientsp,outcome_nutrientsninfo,outcome_soillossretention,outcome_soillossretentioninfo,outcome_soilsedimentchem,outcome_soilsedimentcheminfo,outcome_waterchem,outcome_watercheminfo,outcome_soilsedimentphys,outcome_soilsedimentphysinfo,outcome_waterlossretention,outcome_waterlossretentioninfo,outcome_economic,outcome_economicinfo,outcome_ghgs,outcome_ghgsinfo,outcome_pesticides,outcome_pesticidesinfo,outcome_toxins,outcome_toxinsinfo,outcome_wind,outcome_windinfo,outcome_gmpollen,outcome_gmpolleninfo,outcome_yield,outcome_yieldinfo,outcome_social,outcome_socialinfo,outcome_recreation,outcome_recreationinfo,outcome_other,outcome_otherinfo,outcome_pathogens,outcome_pathogensinfo,outcome_noncropyield,outcome_noncropyieldinfo,outcome_light,outcome_lightinfo,outcome_habitat,outcome_habitatinfo,outcome_climate,outcome_climateinfo,outcome_microbes,outcome_microbesinfo,outcome_physiology,outcome_physiologyinfo,es_provisioning_food,es_provisioning_freshwater,es_provisioning_fibrefuel,es_provisioning_biochemicalproducts,es_provisioning_geneticmaterials,es_regulating_climateregulation,es_regulating_hydrologicalregimes,es_regulating_pollutioncontrol,es_regulating_erosionprotection,es_regulating_naturalhazards,es_regulating_pestregulation,es_regulating_nutrientcycling,es_cultural_piritualinspirational,es_cultural_recreational,es_cultural_aesthetic,es_cultural_educational,es_supporting_biodiversity,es_supporting_pollination,es_supporting_soilformation
21568905,Kujawa (2004),"Importance of young shelterbelts for breeding avifauna in agricultural landscape (Turew area, West Poland)",2004,2000-2004,"http://scholar.google.co.uk/scholar?q=Importance+of+young+shelterbelts+for+breeding+avifauna+in+agricultural+landscape+(Turew+area,+West+P&btnG=&hl=en&as_sdt=0%2C5",Shelterbelt,Poland,Poland,"Turew locality (52 03 N, 16 49 E) West Poland",52.05,16.816667,Observational,,6,8,,Field scale,,,,,,Q2,Q3,,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,Strip presence,Age,,,Strip type (dimension),Width (and number of tree rows) and length,,,,,Vegetation type,Number of tree or shrub species,,,,,,,,,,,,,Biodiversity (terrestrial),Bird density and species richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21568907,Kulshreshtha (2009),External economic benefits and social goods from prairie shelterbelts,2009,2005-2009,http://scholar.google.co.uk/scholar?q=External+economic+benefits+and+social+goods+from+prairie+shelterbelts&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Canada,"Saskatchewan, Canada",Indian Head Shelterbelt Centre,50.509283,-103.686191,Observational,,20,Not stated,,,,,,Not described,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,,,Trees,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,Added value relative to absence,,,,,,,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),Biodiversity benefit,,,Game species,Consumptive wildlife based recreation benefit,,,,,,,Soil loss/retention,Reduced soil erosion benefit,,,Water chemistry/quality (not N/P),Improved water quality benefit,,,,,,,GHGs,Reduced greenhouse gas emissions benefit,,,,,,,,,,,Social,Birdwatching benefit,Recreation,Game,,,,,,,,,,,,,,,,,,,,,,Climate regulation,,,Erosion protection,,,Nutrient cycling,,Recreational,,,Biodiversity,,
21568908,Kult (2008),Monitoring Bear Creek nitrate-nitrogen flux and quantifying the impacts of concentrated flow on grass filters and riparian forest buffers,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Monitoring+Bear+Creek+nitrate-nitrogen+flux+and+quantifying+the+impacts+of+concentrated+flow+on+gras&btnG=&hl=en&as_sdt=0%2C5,"Grass filter, riparian forest buffer",USA,"Iowa, USA",Lake Darling and Lake Rathbun watersheds,41.192432,91.896493,Observational,,<1,Not stated,,,,Catchment scale,,,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,Grasses,"""The farm located in the Lake Rathbun watershed contains the grass filter strip treatment which is an example of the g rass filter conservation standard (Code 393, USDA-NRCS)""",,,,,,,Trees,"""Red Elm (Ulmus rubra), American Elm (Ulmus americana), Boxelder (Acer negundo), and Pin Oak (Quercus palustris)""",,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,Grass filter versus riparian forest buffer,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,Nutrients N,"Runoff nitrate, runoff total nitrogen",Nutrients P,"Runoff phosphate, runoff total phosphorus",Soil loss/retention,Sediment movement,,,,,,,Water loss/retention,Runoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,Nutrient cycling,,,,,,,
21568909,Kumar (2008),Soil hydraulic properties influenced by agroforestry and grass buffers for grazed pasture systems,2008,2005-2009,http://scholar.google.co.uk/scholar?q=Soil+hydraulic+properties+influenced+by+agroforestry+and+grass+buffers+for+grazed+pasture+systems&btnG=&hl=en&as_sdt=0%2C5,"Grass buffer, agroforestry buffer",USA,"Missouri, USA","Horticulture and Agroforestry Research Center in New Franklin, Missouri (39 02 N, 92 46 W)",39.033333,-92.766667,,Manipulative,<1,6,Plot scale,,,,,,,Q2,,,,,,Not described,Livestock,,,,,,,,,,,,,,,,Grasses,Tall fescue,,,,,,,Trees,Agroforestry buffer,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,Vegetation type,Agroforestry buffer versus grass buffer,Response to management,Continuous grazing of field versus rotational grazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soil/sediment (physical),"Bulk density, saturated hydrolic conductivity, porosity",Water loss/retention,Soil water content and retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,,,,,,,,,,,,Soil formation
21568910,Kumar (2010),Root length density and carbon content of agroforestry and grass buffers under grazed pasture systems in a Hapludalf,2010,2010-2014,http://scholar.google.co.uk/scholar?q=Root+length+density+and+carbon+content+of+agroforestry+and+grass+buffers+under+grazed+pasture+system&btnG=&hl=en&as_sdt=0%2C5,"Agroforestry buffer, grass buffer",USA,"Missouri, USA","Horticulture and Agroforestry Research Center in New Franklin, Missouri (39 02 N, 92 46 W)",39.033333,-92.766667,,Manipulative,<1,8,Plot scale,,,,,,,,Q3,,,,,Not described,Livestock,,,,,,,,,,,,,,,,Grasses,Tall fescue,,,,,,,Trees,Agroforestry buffer,,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,,,,,,,Vegetation type,Agroforestry buffer versus grass buffer,Response to management,Rotational field grazing versus continuous grazing,,,,,,,,,,,Biodiversity (terrestrial),"Plant root length density, root dry weight, root surface area, root carbon content",,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)",Soil carbon content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrient cycling,,,,,Biodiversity,,Soil formation
21568913,Kunickis (2000),The effect of riparian buffers with controlled drainage on soil redox potential,2000,2000-2004,http://scholar.google.co.uk/scholar?q=The+effect+of+riparian+buffers+with+controlled+drainage+on+soil+redox+potential&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"North Carolina, USA",Middle Coastal Plain of North Carolina,35.260021,-76.390086,,Manipulative,2,Not stated,,Field scale,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,tall fescue and switch grass,,,,,,,Trees,pine trees,Other (please specify),"""natural vegetation""",,,,,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,,Strip presence,With versus without the buffer,,,Strip type (dimension),Width,,,,,Vegetation type,"""fescue (commonly used for grass buffers in North Carolina), pine trees, switch grass (a deep-rooted grass), natural vegetation...""",Response to management,With versus without controlled drainage,,,,,,,,,,,,,,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)",Redox potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrient cycling,,,,,,,Soil formation
21568915,Kuusemets (1999),Nitrogen and phosphorus transformation in riparian buffer zones of agricultural landscapes in Estonia,1999,1995-1999,http://scholar.google.co.uk/scholar?q=Nitrogen+and+phosphorus+transformation+in+riparian+buffer+zones+of+agricultural+landscapes+in+Estoni&btnG=&hl=en&as_sdt=0%2C5,Buffer zone,Estonia,Estonia,"Porijogi watershed area, south Estonia",58.150528,26.804165,Observational,,2,Not stated,,,,Catchment scale,,,Q1,Q2,Q3,Q4,,,,Not described,Livestock,Pig farm,Cropped fields (arable),,,,,,,,Grassland,,Other (please specify),"abandoned arable land, abandoned cultivated grassland",Not described,,,,,,,,,,Trees,,Other (please specify),riparian wet meadow,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,percentage of buffered/unbuffered stream banks,,,,,,,,,,,,,,,Transect into field/across vegetative strip,field vs grassland vs wet meadow vs alder stand,,,,,,,,,,,,,,,Nutrients N,"Total N in shallow groundwater, N assimilation by plants, topsoil N content, soil N content, outflow of total N",Nutrients P,"Total P in shallow groundwater, P assimilation by plants, topsoil P, soil P, outflow of total P",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-crop yield,Plant biomass production,,,,,,,,,,,,,Fibre and fuel,,,,,Pollution control,,,,Nutrient cycling,,,,,,,
21568921,Lacas (2012),Efficiency of a Grass Buffer Strip for Limiting Diuron Losses from an Uphill Vineyard Towards Surface and Subsurface Waters,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Efficiency+of+a+Grass+Buffer+Strip+for+Limiting+Diuron+Losses+from+an+Uphill+Vineyard+Towards+Surfac&btnG=&hl=en&as_sdt=0%2C5,Grass buffer strip,France,France,"Beaujolais area, in the Rhône Department of France",46.113435,4.726386,,Manipulative,<1,Not stated,Plot scale,,,,,,,,,,Not described,Conventional,,,,,,,,,Viticulture,,,,,,,,,,Grasses,,,,,,,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,,,"Soil/sediment (chemical, not N/P)",Soil organic carbon,,,,,Water loss/retention,Runoff,,,,,Pesticides,Herbicide (diuron) retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,,,,Nutrient cycling,,,,,,,Soil formation
21568922,Lachlan (1976),HABITAT SELECTION BY COCK PHEASANTS IN SPRING,1976,1975-1979,http://scholar.google.co.uk/scholar?q=HABITAT+SELECTION+BY+COCK+PHEASANTS+IN+SPRING&btnG=&hl=en&as_sdt=0%2C5,Hedgerow,UK,UK,North East Dorset,50.747738,-2.342835,Observational,,4,Not stated,,Field scale,,,,,Q1,Q2,,,,,,Not described,Livestock,Permanent pasture,Cropped fields (arable),Cereal (mainly barley),,,,,,,Grassland,grass leys,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),Percentage of territories occupied which had shrub component entirely composed of hedgerow,,,Game species,Percentage of territories occupied which had shrub component entirely composed of hedgerow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreation,Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational,,,Biodiversity,,
21568923,Lack (1987),THE EFFECTS OF SEVERE HEDGE CUTTING ON A BREEDING BIRD POPULATION,1987,1985-1989,http://scholar.google.co.uk/scholar?q=THE+EFFECTS+OF+SEVERE+HEDGE+CUTTING+ON+A+BREEDING+BIRD+POPULATION&btnG=&hl=en&as_sdt=0%2C5,Hedge,UK,UK,"Pendley Farm, Tring, Hertfordshire",51.798927,-0.635298,Observational,,2,Not stated,,Field scale,,,,,,,,,Not described,,,Not described,,,Cropped fields (arable),Barley,,,,,,,,,,,,,,,,,,,Hedgerow,,,,,,,,,Field edge,,,Unmanaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation type,"Hedgerow types: canal, edge, internal tree line, internal short hedge",,,,,,,,,,,,,Biodiversity (terrestrial),Bird territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21568924,Lack (1988),Nesting success of birds in trees and shrubs in farmland hedges,1988,1985-1989,http://scholar.google.co.uk/scholar?q=Nesting+success+of+birds+in+trees+and+shrubs+in+farmland+hedges&btnG=&hl=en&as_sdt=0%2C5,Hedge,Not stated,Not stated,not stated,not stated,not stated,Observational,,19,Not stated,,,,,,Not described,,,,,Not described,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,,,Hedgerow,,,,,,,,,,,Not described,,,,,,,,,,,,,,,,,,,Not described,,,,,,,,,,,,Vegetation type,hawthorn vs other shrubs; shrubs vs trees,,,,,,,,,,,,,Biodiversity (terrestrial),"Number of nests, mean clutch size, first egg data, chick mortality for 11 species of birds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21568926,Lafrance (2012),Impact of vegetated filter strips on sorbed herbicide concentrations and sorption equilibrium in agricultural plots,2012,2010-2014,http://scholar.google.co.uk/scholar?q=Impact+of+vegetated+filter+strips+on+sorbed+herbicide+concentrations+and+sorption+equilibrium+in+agr&btnG=&hl=en&as_sdt=0%2C5,Vegetated filter strip,Canada,"Québec, Canada","Ferme experimentale de l’Institut de Recherche et de Developpement en Agroenvironnement inc in St-Lambert-de-Lauzon,(46◦36.5N; 71 10.5W)",46.6,-71.166665,,Manipulative,2,1,Plot scale,,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),Corn,,,,,,,,,,,,,Grasses,"45% red fescue, 45% white redtop, 10% ryegrass",,,,,,,Trees,hybrid poplar,,,,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,control (no filter strip) vs grass filter strip vs tree filter strip,,,,,,,,,Vegetation type,grass strip vs tree and grass,,,,,,,,,,,,,,,,,,,,,,,,,Soil loss/retention,Exported mass of sediment,,,,,,,,,,,,,Pesticides,"In runoff and subsurface infiltrated water, concentrations of deethylatrazine and atrazine (various measures and ratios)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution control,Erosion protection,,,,,,,,,,
21568927,Lafrance (2013),"Impact of grass filter strips length on exported dissolved masses of metolachlor, atrazine and deethylatrazine: a four-season study under natural rain conditions",2013,2010-2014,"http://scholar.google.co.uk/scholar?q=Impact+of+grass+filter+strips+length+on+exported+dissolved+masses+of+metolachlor,+atrazine+and+deeth&btnG=&hl=en&as_sdt=0%2C5",Grass filter strip,Canada,"Québec, Canada",Ferme experimentale de Saint-Lambert-de-Lauzo,46.6,-71.166665,,Manipulative,4,Not stated,Plot scale,,,,,,,Q2,,,,Conventional,,,,,,,,,,,,,,,,,Not described,,Grasses,"""The filter strips were sown with a mix of creeping red fescue (Festuca rubra L.) (45%), bent grass (Agrostis alba L.) (45%) and perennial rye-grass (Lolium perenne L.) (10%)""",,,,,,,,,,,,,Within field,,,,,,,,,,Cut,Mown,,,,,Sown/planted,,Pesticide,Herbicide,,,,,Strip presence,With versus without strip,,,Strip type (dimension),Width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water loss/retention,Runoff,,,,,Pesticides,"Herbicide (metolachlor, atrazine and deethylatrazine) retention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,,,,,,,,,,,
21568928,Lagerlof (1992),MARGINS OF AGRICULTURAL FIELDS AS HABITATS FOR POLLINATING INSECTS,1992,1990-1994,http://scholar.google.co.uk/scholar?q=MARGINS+OF+AGRICULTURAL+FIELDS+AS+HABITATS+FOR+POLLINATING+INSECTS&btnG=&hl=en&as_sdt=0%2C5,Field margin,Sweden,Sweden,Uppsala,59.858368,17.636946,,Manipulative,<1,Not stated,Plot scale,,,,,,,Q2,Q3,,,Conventional,,,,,Cropped fields (arable),"winter wheat, barley, rape",,,,,,,,,,,,,Grasses,grasses (on a ditch bank),,,,,,,,,Other (please specify),"Predominantly white meliot vs predominantly red clover, weeds, herbs",,,,Field edge,,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,natural species-rich dry pasture vs Predominantly white meliot vs predomincantly red clover (and ley grasses) vs weeds vs herbs and grasses (on a ditch bank),,,,,,,,,Vegetation type,Predominantly white meliot vs predomincantly red clover (and ley grasses) vs weeds vs herbs and grasses (on a ditch bank),,,,,,,,,,,,,Biodiversity (terrestrial),"bumblebees, butterflies, hoverflies, bumblebees and total flower visiting insect numbers",Pollination,"bumblebees, butterflies, hoverflies, bumblebees and total flower visiting insect numbers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,Pollination,
21568935,Lampartova (2015),IMPACT OF PROTECTIVE SHELTERBELT ON MICROCLIMATE CHARACTERISTICS,2015,2015-2016,http://scholar.google.co.uk/scholar?q=IMPACT+OF+PROTECTIVE+SHELTERBELT+ON+MICROCLIMATE+CHARACTERISTICS&btnG=&hl=en&as_sdt=0%2C5,Shelterbelt,Czech Republic,Czech Republic,"cadastral areas of Lednice, Podivín and Rakvice, Obelisk enclosure within Lednice-Valtice area",48.858111,16.813308,Observational,,1,Not stated,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,,,,,,,,,,,,,Not described,,,,,,Shrubs,hawthorn and/or black elder,,,Trees,"English oak (Quercus robur L.); field maple (Acer campestre L.), the European ash (Fraxinus excelsior L.), the small-leaved lime (Tilia cordata Mill.) and the European hornbeam (Carpinus betulus L.) ",,,,,,Field edge,,,,,,,,,,,,,,,Sown/planted,Additionally planted 10-15 y ago,,,,,Not described,,,,,,,,,,,,,,,,,,Transect into field/across vegetative strip,windward vs leeward sides,,,,,,,,,,,,,,,,,,,,,,,,,Soil/sediment (physical),soil temperature,,,,,,,,,,,Wind,"time, velocity and direction of wind",,,,,,,,,,,,,,,,,,,Climate/microclimate,"Air temperature, global radiation",,,,,,,,,,Climate regulation,,,,,,,,,,,,,Soil formation
21568947,Laubel (2003),Hydromorphological and biological factors influencing sediment and phosphorus loss via bank erosion in small lowland rural streams in Denmark,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Hydromorphological+and+biological+factors+influencing+sediment+and+phosphorus+loss+via+bank+erosion+&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer zone,Denmark,Denmark,Not stated,56.263305,9.501841,Observational,,2,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,,,,,,,,,Grassland,meadow,,,,,Grasses,,,,,,,,Trees,,Other (please specify),grass-forb mixture; forb,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,,,,,Strip type (dimension),Buffer zone width,,,,,Vegetation type,grass vs grass-forb vs forb vs woodland; woodland vs no woodland in buffer,,,,,Transect into field/across vegetative strip,Buffer vs field,,,,,,,,,,,,,,,,,Nutrients P,Total P in topsoil,Soil loss/retention,Bank erosion rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pollution control,Erosion protection,,,Nutrient cycling,,,,,,,
21568950,Le Bissonnais (2004),Grass strip effects on runoff and soil loss,2004,2000-2004,http://scholar.google.co.uk/scholar?q=Grass+strip+effects+on+runoff+and+soil+loss&btnG=&hl=en&as_sdt=0%2C5,Grass strip,France,France,"Pays de Caux (Normandie, France)",49.711739,0.534497,,Manipulative,2,2,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),Winter wheat,,,,,,,,,,,,,Grasses,Ray grass,,,,,,,,,,,,,Within field,,,,,,,,,,,,,,,,Sown/planted,,,,,,,,Strip presence,With versus without strip,,,Strip type (dimension),Strip width,,,,,,,,,,,Transect into field/across vegetative strip,,,,,,,,,,,,,,,,,,,,Soil loss/retention,"Sediment in runoff, cummulative soil loss",,,,,,,Water loss/retention,"Runoff, infiltration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,,Erosion protection,,,,,,,,,,
21568951,Le Coeur (1997),Field margins plant assemblages: Variation partitioning between local and landscape factors,1997,1995-1999,http://scholar.google.co.uk/scholar?q=Field+margins+plant+assemblages:+Variation+partitioning+between+local+and+landscape+factors&btnG=&hl=en&as_sdt=0%2C5,Field margin,France,France,Northern Brittany,48.667428,-2.928331,Observational,,Not stated,Not stated,,,,,Regional scale,,,,,,Not described,,,Not described,,,Cropped fields (arable),,,,,,,,Grassland,,,,,,Grasses,Grassy strip; grassy bank,,,,,Hedgerow,"Wooded hedgerow (shredded oak, chestnut, hazel)",,,,,,,,Field edge,,,,,,,,,Cut,Pollarding,,,,,,,,,,,,,Strip presence,Proportion of hedgerow,,,,,,,,,,,,,,,,,,,,,,,Biodiversity (terrestrial),Plant species composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biodiversity,,
21568961,Lee (2003),Sediment and nutrient removal in an established multi-species riparian buffer,2003,2000-2004,http://scholar.google.co.uk/scholar?q=Sediment+and+nutrient+removal+in+an+established+multi-species+riparian+buffer&btnG=&hl=en&as_sdt=0%2C5,Riparian buffer,USA,"Iowa, USA","Bear Creek, Story County, Iowa (42 11 N, 93 30 W)",42.182677,-93.501316,,Manipulative,2,4,Plot scale,,,,,,Q1,Q2,Q3,Q4,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,Switchgrass zone and woody plants (shrubs and trees) zone,,,Shrubs,Switchgrass zone and woody plants (shrubs and trees) zone,,,Trees,Switchgrass zone and woody plants (shrubs and trees) zone,,,,,,,Riparian,,,,,,,,,,,,,,,,,,,,Not described,,Strip presence,No buffer versus switchgrass zone versus switchgrass and woody zones,,,Strip type (dimension),Width (confounded with vegetation type [longer buffer has grass and tree zones]),,,,,Vegetation type,No buffer versus switchgrass zone versus switchgrass and woody zones (confounded with width [longer buffer has two vegetation zones]),,,,,,,,,,,,,,,,,,,,,Nutrients N,"Runoff total nitrogen, runoff nitrate",Nutrients P,"Runoff total phosphorus, runoff phosphate",Soil loss/retention,"Sediment transport, runoff sediment particle size distribution",,,,,,,Water loss/retention,Runoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,Nutrient cycling,,,,,,,
21568964,Lee (1998),"Nutrient and sediment removal by switchgrass and cool-season grass filter strips in Central Iowa, USA",1998,1995-1999,"http://scholar.google.co.uk/scholar?q=Nutrient+and+sediment+removal+by+switchgrass+and+cool-season+grass+filter+strips+in+Central+Iowa,+US&btnG=&hl=en&as_sdt=0%2C5",Grass filter strip,USA,"Iowa, USA","Bear Creek, Story County, Iowa, USA (42 11 N, 93 30 W)",42.183333,-93.5,Observational,,<1,7,,Field scale,,,,,,,Q3,,,,,Not described,,,Cropped fields (arable),,,,,,,,,,,,,,Grasses,"""The MRB [multispecies riparian buffer] consists of a zone of woody plants consisting of trees and shrubs nearest the stream and an adjacent native warm-season grass filter strip"" ""The native warm-season grass filter in this study was planted to switchgrass ( Panicum vir gatum ). This two zone buf fer system is being compared to a cool- season filter strip consisting of bromegrass ( Br omus inermis ), timothy ( Phleum pratense ) and fescue ( Festuca spp.) which is an example of the filter strip conservation practice standard (Code 393, USDA-NRCS)""",,,,,,,,,,,,,,Field edge,Riparian,,,,,,,,,,,,,,Sown/planted,,,,,,,,,,,,Strip type (dimension),Width,,,,,Vegetation type,Switchgrass versus multispecies grass buffer,,,,,Transect into field/across vegetative strip,,,,,,,,Biodiversity (terrestrial),Vegetation stem number and diameter,,,,,,,Nutrients N,Nitrate and total nitrogen removal,Nutrients P,Phosphate and total phosphorus removal,Soil loss/retention,Sediment removal,,,,,,,Water loss/retention,"Runoff, infiltration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydrological regimes,Pollution control,Erosion protection,,,Nutrient cycling,,,,,Biodiversity,,
