"","article_id","region","title","authors","hazard","response","sdgs","actor"
"317",6713920," Asia","Multiple risk management during agricultural production shortages in a mountain village in northern Laos-Roles of forest resources, livestock and the market economy","Hirota, I"," General climate impacts||| Other1","Behavioural/cultural||| Institutional"," Consumption & production||| Food security"," Individuals or households"
"318",6713921," Australasia","Environmental change, resilience, and adaptation in nature-based tourism: conceptualizing the social-ecological resilience of birdwatching tour operations","Kutzner, D","Sea level rise||| General climate impacts||| Other1","Behavioural/cultural||| Ecosystem-based"," Other2|||Poverty||| Work and economic growth"," Local government||| Civil Society- sub-national or local||| Individuals or households"
"319",6713922," Asia","'My new routine': Assessing the impact of citizen science on climate adaptation in Bangladesh","Bremer, S; Haque, MM; Bin Aziz, S; Kvamme, S"," Precipitation variability","Behavioural/cultural||| Institutional||| Technological/infrastructural"," Health & wellbeing||| Food security"," Individuals or households"
"320",6713923," Asia|||Africa||| Central and South America","Review of key initiatives and approaches to adaptation planning at the national level in semi-arid areas","Bizikova, L; Parry, JE; Karami, J; Echeverria, D"," General climate impacts||| Drought"," Institutional||| Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Consumption & production||| Food security|||Poverty||| Clean water & sanitation||| Terrestrial & freshwater ecosystem services"," Civil Society- international/multinational/national||| National government||| Sub-national government||| Civil Society- sub-national or local||| Individuals or households||| Local government|||International or multinational governance institutions"
"321",6713924," Asia","Climate change and agriculture: Impacts and adaptive responses in Iran","Karimi, V; Karami, E; Keshavarz, M"," Precipitation variability||| General climate impacts||| Drought"," Institutional|||Behavioural/cultural||| Ecosystem-based||| Technological/infrastructural"," Food security||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities||| Consumption & production|||Poverty||| Health & wellbeing||| Education||| Other2"," Local government||| Individuals or households"
"322",6713925," Asia","Evolving high altitude livelihoods and climate change: a study from Rasuwa District, Nepal","Merrey, DJ; Hussain, A; Tamang, DD; Thapa, B; Prakash, A"," General climate impacts","Behavioural/cultural"," Food security"," Individuals or households"
"323",6713926," Asia","The tea landscape of Assam: Multi-stakeholder insights into sustainable livelihoods under a changing climate","Biggs, EM; Gupta, N; Saikia, SD; Duncan, JMA"," General climate impacts||| Drought||| Precipitation variability||| Increased frequency and intensity of extreme heat"," Institutional||| Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based"," Consumption & production"," Individuals or households||| Local government||| National government||| Private sector SMEs"
"324",6713928," Asia","Impacts of environmental change on agroecosystems and livelihoods in Annapurna Conservation Area, Nepal","Dangi, MB; Chaudhary, RP; Rijal, K; Stahl, PD; Belbase, S; Gerow, KG; Fernandez, D; Pyakurel, B"," General climate impacts||| Loss of Arctic sea ice||| Precipitation variability"," Ecosystem-based"," Terrestrial & freshwater ecosystem services"," Individuals or households||| Local government||| Civil Society- sub-national or local||| Private sector SMEs"
"325",6713935," Asia","Climate change and adaptation strategies in Budhi Gandaki River Basin, Nepal: a perception-based analysis","Devkota, RP; Pandey, VP; Bhattarai, U; Shrestha, H; Adhikari, S; Dulal, KN"," Drought||| Extreme precipitation and inland flooding||| General climate impacts"," Technological/infrastructural|||Behavioural/cultural||| Ecosystem-based"," No information or not assessed2||| Sustainable cities & communities||| Clean water & sanitation"," Individuals or households"
"326",6713936," Asia","Risk communications: flood-prone communities of Kuala Lumpur","Zahari, RK; Ariffin, RNR"," Extreme precipitation and inland flooding"," Technological/infrastructural||| Institutional|||Behavioural/cultural","Poverty||| Sustainable cities & communities||| Inequalities (Other than gender)||| Clean water & sanitation"," Individuals or households"
"327",6713939," Asia","Determinants of adaptation practices to climate change by Chepang households in the rural Mid-Hills of Nepal","Piya, L; Maharjan, KL; Joshi, NP"," Extreme precipitation and inland flooding||| Precipitation variability"," Technological/infrastructural|||Behavioural/cultural"," Clean water & sanitation||| Consumption & production"," Individuals or households"
"328",6713941," Asia","Exploring Flood Resilience Thinking in the Retail Sector under Climate Change: A Case Study of an Estuarine Region of Taipei City","Chiang, YC; Ling, TY"," Extreme precipitation and inland flooding|||Sea level rise","Behavioural/cultural"," Sustainable cities & communities"," Private sector SMEs"
"329",6713950," Australasia","Assessing the capacity of Australian broadacre mixed farmers to adapt to climate change: Identifying constraints and opportunities","Brown, PR; Bridle, KL; Crimp, SJ"," Drought||| General climate impacts"," Technological/infrastructural||| Institutional|||Behavioural/cultural"," Food security"," Individuals or households"
"330",6713959," Asia","How effective are coping mechanisms in securing livelihoods against climatic aberrations? Evidences from rural India","Patnaik, U; Narayanan, K"," Drought||| Precipitation variability","Behavioural/cultural"," Consumption & production|||Poverty||| Work and economic growth||| Energy security"," Individuals or households||| National government"
"331",6713960," Asia","Vulnerability of women to climate change in arid and semi-arid regions: The case of India and South Asia","Yadav, SS; Lal, R"," General climate impacts||| Precipitation variability","Behavioural/cultural||| Technological/infrastructural"," Food security|||Poverty"," Individuals or households"
"332",6713961," Asia","Farmers' adaptation to climate change in the Tengger Mountains (case study in Ngadas Village, Poncokusumo District, Malang Regency, East Java, Indonesia)","Yuliati, Y.; Primasari, D.A."," General climate impacts","Behavioural/cultural"," Food security"," Individuals or households"
"333",6713962," Asia","Risks and responses in rural India: Implications for local climate change adaptation action","Singh, C; Rahman, A; Srinivas, A; Bazaz, A"," Drought||| Precipitation variability"," Ecosystem-based||| Institutional||| Technological/infrastructural|||Behavioural/cultural"," Consumption & production|||Poverty"," Individuals or households||| Local government||| Sub-national government||| National government||| Other"
"334",6713964," Asia","Livelihood Diversification as a Climate Change Coping Strategy Adopted by Small-Scale Fishers of Bangladesh","Deb, A.K.; Haque, C.E."," General climate impacts","Behavioural/cultural"," Work and economic growth||| Food security||| Sustainable cities & communities"," Civil Society- sub-national or local||| Individuals or households"
"335",6713967," Asia","Developing Adaptation Policies in the Agriculture Sector: Indonesia's Experience","Sano, D.; Prabhakar, S.V.R.K.; Kartikasari, K.; Irawan, D.J."," General climate impacts"," Institutional"," No information or not assessed2"," National government||| Local government||| Civil Society- sub-national or local"
"336",6713969," Asia","Many issues, limited responses: Coping with water insecurity in rural India","Basu, M.; Hoshino, S.; Hashimoto, S."," Drought||| General climate impacts","Behavioural/cultural||| Ecosystem-based||| Institutional||| Technological/infrastructural"," Health & wellbeing"," Individuals or households"
"337",6713970," Asia","Environmental Stressors and Migration: Evidence from Vietnam","Koubi, V; Spilker, G; Schaffer, L; Bernauer, T"," Extreme precipitation and inland flooding||| Precipitation variability||| Other1","Behavioural/cultural"," Health & wellbeing"," Individuals or households"
"338",6713971," Asia","A Study of Flood Disaster Risk Communication Model and Adaptive Behaviours for River-Watershed residents in Taiwan","Hu, D; Te-Pai, J; Chen, YY"," Extreme precipitation and inland flooding||| Other1"," No information or not assessed"," Marine & coastal ecosystem services||| Sustainable cities & communities"," Individuals or households"
"339",6713972," Asia","Climate-induced Migration in South Asia: Migration Decisions and the Gender Dimensions of Adverse Climatic Events","Bhatta, GD; Aggarwal, PK; Poudel, S; Belgrave, DA"," Extreme precipitation and inland flooding||| General climate impacts","Behavioural/cultural"," Food security"," Individuals or households"
"340",6713974," Asia","The Costs of Living with Floods in the Jamuna Floodplain in Bangladesh","Ferdous, MR; Wesselink, A; Brandimarte, L; Slager, K; Zwarteveen, M; Di Baldassarre, G"," Extreme precipitation and inland flooding","Behavioural/cultural||| Institutional||| Technological/infrastructural","Poverty"," Individuals or households"
"341",6713976," Asia","Farming adaptation to environmental change in coastal Bangladesh: shrimp culture versus crop diversification","Kabir, MJ; Cramb, R; Alauddin, M; Roth, C"," Other1","Behavioural/cultural||| Technological/infrastructural"," Food security"," Individuals or households"
"342",6713987," Australasia","How are coastal households responding to climate change?","Elrick-Barr, CE; Smith, TF; Preston, BL; Thomsen, DC; Baum, S"," General climate impacts|||Sea level rise||| Increased frequency and intensity of extreme heat||| Other1","Behavioural/cultural"," Marine & coastal ecosystem services"," Individuals or households"
"343",6713990," Asia||| Australasia","Nation-building policies in Timor-Leste: disaster risk reduction, including climate change adaptation","Mercer, J; Kelman, I; do Rosario, F; Lima, ADD; da Silva, A; Beloff, AM; McClean, A"," General climate impacts"," Institutional"," Clean water & sanitation||| Consumption & production||| Food security||| Health & wellbeing||| Sustainable cities & communities||| Terrestrial & freshwater ecosystem services||| Peace justice & strong institutions"," National government||| Local government||| Sub-national government||| Civil Society- international/multinational/national"
"344",6714002," Australasia","Climate adaptation planning in the higher education sector","Kautto, N; Trundle, A; McEvoy, D"," General climate impacts||| Increased frequency and intensity of extreme heat||| Drought|||Sea level rise||| Extreme precipitation and inland flooding"," Institutional"," Education"," Other"
"345",6714008," Asia","A people-centred perspective on climate change, environmental stress, and livelihood resilience in Bangladesh.","Ayeb-Karlsson, Sonja; van der Geest, Kees; Ahmed, Istiakh; Huq, Saleemul; Warner, Koko"," General climate impacts","Behavioural/cultural"," No information or not assessed2||| Clean water & sanitation||| Food security||| Sustainable cities & communities"," Individuals or households"
"346",6714012," Central and South America||| North America","Adapting to risk and perpetuating poverty: Household's strategies for managing flood risk and water scarcity in Mexico City","Eakin, H; Lerner, AM; Manuel-Navarrete, D; Aguilar, BH; Martinez-Canedo, A; Tellman, B; Charli-Joseph, L; Alvarez, RF; Bojorquez-Tapia, L"," Extreme precipitation and inland flooding||| Drought||| Other1","Behavioural/cultural||| Technological/infrastructural","Poverty||| Clean water & sanitation||| Health & wellbeing||| Gender equality||| Sustainable cities & communities||| Education||| Other2"," Individuals or households||| Private sector SMEs||| Local government||| Civil Society- sub-national or local||| Private sector corporations"
"347",6714013," Central and South America","Institutional responses to climate change: opportunities and barriers for adaptation in the Pantanal and the Upper Paraguay River Basin","Ioris, AAR; Irigaray, CT; Girard, P"," Precipitation variability||| Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding"," Institutional||| Technological/infrastructural"," No information or not assessed2"," National government"
"348",6714014," Central and South America","Ecological resilience to coffee rust: Varietal adaptations of coffee farmers in Copan, Honduras","Ward, R; Gonthier, D; Nicholls, C"," Drought||| General climate impacts||| Other1","Behavioural/cultural||| Ecosystem-based"," Food security||| Consumption & production"," Individuals or households||| Civil Society- international/multinational/national"
"349",6714016," Central and South America||| North America","The influence of community-based resource management institutions on adaptation capacity: A large-n study of farmer responses to climate and global market disturbances","Villamayor-Tomas, S; Garcia-Lopez, G"," Drought"," Technological/infrastructural|||Behavioural/cultural||| Institutional"," Consumption & production||| Other2||| No information or not assessed2"," Civil Society- sub-national or local||| Individuals or households||| Sub-national government"
"350",6714019," Central and South America","Landraces as an adaptation strategy to climate change for smallholders in Santa Catarina, Southern Brazil","Vasconcelos, ACF; Bonatti, M; Schlindwein, SL; D'Agostini, LR; Homem, LR; Nelson, R"," General climate impacts||| Drought||| Extreme precipitation and inland flooding||| Precipitation variability||| Increased frequency and intensity of extreme heat","Behavioural/cultural"," Food security||| Work and economic growth"," Individuals or households"
"351",6714022," Central and South America","Local ecological knowledge and incremental adaptation to changing flood patterns in the Amazon delta","Vogt, N; Pinedo-Vasquez, M; Brondizio, ES; Rabelo, FG; Fernandes, K; Almeida, O; Riveiro, S; Deadman, PJ; Dou, Y"," Extreme precipitation and inland flooding|||Sea level rise||| Precipitation variability","Behavioural/cultural||| Ecosystem-based"," Food security||| Terrestrial & freshwater ecosystem services||| Work and economic growth"," Individuals or households"
"352",6714026," Central and South America","Implementing climate variability adaptation at the community level in the Amazon floodplain","Oviedo, AFP; Mitraud, S; McGrath, DG; Bursztyn, M"," Drought||| Extreme precipitation and inland flooding||| General climate impacts","Behavioural/cultural||| Technological/infrastructural||| Institutional"," Clean water & sanitation||| Food security||| Work and economic growth"," Individuals or households||| Civil Society- sub-national or local||| Sub-national government||| Civil Society- international/multinational/national"
"353",6714032," North America","Community perceptions of socioecological stressors and risk-reducing strategies in Tabasco, Mexico","Pischke, E.C.; Azahara Mesa-Jurado, M.; Eastmond, A.; Abrams, J.; Halvorsen, K.E."," Drought||| Extreme precipitation and inland flooding||| Precipitation variability"," Ecosystem-based||| Institutional"," Consumption & production||| Food security||| Work and economic growth|||Poverty||| Health & wellbeing"," Individuals or households||| Sub-national government"
"354",6714038," Central and South America","What influences disaster risk perception? Intervention measures, flood and landslide risk perception of the population living in flood risk areas in Rio de Janeiro state, Brazil","Ardaya, AB; Evers, M; Ribbe, L"," Extreme precipitation and inland flooding||| Precipitation variability"," Technological/infrastructural||| Institutional||| Ecosystem-based|||Behavioural/cultural"," Health & wellbeing"," Individuals or households||| Local government||| National government"
"355",6714040," Central and South America","Microfinance for ecosystem-based adaptation (MEbA) in Peru and Colombia","RondÃ³n-Krummheuer, A.; Gruening, C.; Jungfleisch, C."," General climate impacts"," Technological/infrastructural||| Ecosystem-based||| Institutional","Poverty||| Consumption & production||| Food security||| Industry/innovation/technology"," Civil Society- sub-national or local||| Other||| Private sector SMEs|||International or multinational governance institutions"
"356",6714041," Central and South America||| North America","How do biosphere reserves influence local vulnerability and adaptation? Evidence from Latin America","Ruiz-Mallen, I; Corbera, E; Calvo-Boyero, D; Reyes-Garcia, V; Brown, K"," Drought||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat||| Precipitation variability","Behavioural/cultural||| Technological/infrastructural"," Consumption & production||| Food security||| Clean water & sanitation|||Poverty"," Individuals or households||| Civil Society- sub-national or local||| Other"
"357",6714047," Central and South America","On the evaluation of adaptation practices: a transdisciplinary exploration of drought measures in Chile","Lillo-Ortega, G; Aldunce, P; Adler, C; Vidal, M; Rojas, M"," Drought"," Technological/infrastructural|||Behavioural/cultural||| Institutional"," Energy security||| Food security||| Health & wellbeing||| Clean water & sanitation|||Poverty"," Civil Society- international/multinational/national||| Civil Society- sub-national or local||| Private sector SMEs||| Local government"
"358",6714058," Central and South America","Sustentability and climate variability: Participatory agroecologycal actions to adaptation and socio-ecological reesilience in the colombian high-andean region","Acevedo-Osorio, Ã.; Leiton, A.A.; DurÃ¡n, M.V.L.; Quiroga, K.L.F."," Drought||| Other1"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural"," Food security||| Terrestrial & freshwater ecosystem services||| Sustainable cities & communities"," Civil Society- sub-national or local||| Individuals or households"
"359",6714059," Central and South America","Ecosystem-based Adaptation by smallholder basic grain farms in Guatemala and Honduras","Chain-Guadarrama, A; Martinez-Rodriguez, MR; Cardenas, JM; Vilchez-Mendoza, S; Harvey, CA"," Drought||| Precipitation variability||| Extreme precipitation and inland flooding||| Other1"," Ecosystem-based"," Consumption & production||| Food security"," Individuals or households"
"360",6714064," Central and South America","Community adaptations to environmental challenges under decentralized governance in southwestern Uruguay","Thompson, D"," Drought||| Other1||| General climate impacts"," Institutional"," Food security|||Poverty"," Civil Society- international/multinational/national||| National government||| Local government"
"361",6714068,"Africa","Resourceless victims or resourceful collectives: Addressing the impacts of climate change through social capital in fringing coastal communities","Kithiia, J"," General climate impacts|||Sea level rise||| Other1||| Extreme precipitation and inland flooding"," Ecosystem-based|||Behavioural/cultural||| Technological/infrastructural||| Institutional"," Marine & coastal ecosystem services|||Poverty||| Sustainable cities & communities"," Civil Society- international/multinational/national||| Individuals or households||| Local government||| National government"
"362",6714069," Australasia","Urban planning and sustainable adaptation to sea-level rise","Hurlimann, A; Barnett, J; Fincher, R; Osbaldiston, N; Mortreux, C; Graham, S","Sea level rise||| Extreme precipitation and inland flooding"," Institutional||| Technological/infrastructural"," Sustainable cities & communities||| No information or not assessed2"," Civil Society- sub-national or local||| National government||| Local government||| Private sector corporations||| Sub-national government"
"363",6714070,"","Corporate Adaptation Behaviour to Deal With Climate Change: The Influence of Firm-Specific Interpretations of Physical Climate Impacts","Gasbarro, F; Pinkse, J"," Other1"," Institutional||| Technological/infrastructural"," Work and economic growth||| Consumption & production"," Private sector corporations"
"364",6714071," Asia","Government response to climate change in China: a study of provincial and municipal plans","Li, CS; Song, Y"," Drought||| General climate impacts||| Increased frequency and intensity of extreme heat||| Precipitation variability|||Sea level rise||| Other1"," Institutional"," Clean water & sanitation||| Consumption & production||| Marine & coastal ecosystem services||| Food security||| Energy security||| Sustainable cities & communities"," National government||| Local government"
"365",6714072," Central and South America","Integrating climate change adaptation, disaster risk reduction and urban planning: A review of Nicaraguan policies and regulations","Rivera, C; Wamsler, C"," Other1||| General climate impacts"," Institutional||| Ecosystem-based"," Sustainable cities & communities||| No information or not assessed2"," National government||| Local government||| Sub-national government||| Civil Society- international/multinational/national"
"366",6714074," North America","An effective public health program to reduce urban heat islands in Quebec, Canada","Beaudoin, M; Gosselin, P"," Increased frequency and intensity of extreme heat"," Technological/infrastructural||| Ecosystem-based"," Health & wellbeing||| Sustainable cities & communities"," Civil Society- international/multinational/national||| Local government||| Sub-national government||| Civil Society- sub-national or local||| National government||| Individuals or households||| Other"
"367",6714075," Australasia","Understanding climate coping as a basis for strategic climate change adaptation - The case of Queenstown-Lake Wanaka, New Zealand","Hughey, KFD; Becken, S"," Other1||| Extreme precipitation and inland flooding","Behavioural/cultural||| Technological/infrastructural"," Work and economic growth"," Private sector SMEs||| Private sector corporations"
"368",6714076," Asia||| Europe||| Australasia||| Central and South America||| North America|||Africa","Advocacy for urban resilience: UNISDR's Making Cities Resilient Campaign","Johnson, C; Blackburn, S"," General climate impacts"," Institutional||| Technological/infrastructural||| Ecosystem-based"," Sustainable cities & communities"," Local government"
"369",6714077," Europe","The UK response to the challenge of climate change","Parry, J"," Increased frequency and intensity of extreme heat||| Other1||| Extreme precipitation and inland flooding||| Drought||| General climate impacts"," Institutional||| Ecosystem-based"," Other2||| No information or not assessed2"," National government||| Local government"
"370",6714079,"Africa","Adaptive capacity of small-scale coastal fishers to climate and non-climate stressors in the Western region of Ghana","Freduah, G; Fidelman, P; Smith, TF"," General climate impacts|||Sea level rise||| Other1"," Ecosystem-based||| Technological/infrastructural|||Behavioural/cultural||| Institutional"," Marine & coastal ecosystem services||| Food security"," Local government||| Individuals or households||| National government||| Private sector corporations"
"371",6714080," North America","Where to begin municipal climate adaptation planning? Evaluating two local choices","Lyles, W; Berke, P; Overstreet, KH"," Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat|||Sea level rise||| Drought||| General climate impacts"," Institutional"," Sustainable cities & communities||| Food security||| Health & wellbeing||| Consumption & production||| Other2||| Peace justice & strong institutions"," Local government||| Other"
"372",6714082," North America","State-of-the-practice assessment of climate change adaptation practices across metropolitan planning organizations pre- and post-Hurricane Sandy","Beiler, MO; Marroquin, L; McNeil, S"," Other1||| Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat||| General climate impacts"," Institutional||| Technological/infrastructural"," Sustainable cities & communities||| Other2||| Energy security||| Work and economic growth||| Industry/innovation/technology"," Local government||| National government||| Civil Society- international/multinational/national||| Civil Society- sub-national or local"
"373",6714083," Asia||| Central and South America||| Australasia||| Europe||| North America|||Africa","Public Health Adaptation to Climate Change in Large Cities: A Global Baseline","Araos, M; Austin, SE; Berrang-Ford, L; Ford, JD"," Increased frequency and intensity of extreme heat||| Extreme precipitation and inland flooding||| General climate impacts||| Other1"," Institutional||| Technological/infrastructural||| Ecosystem-based"," Food security||| Health & wellbeing"," Local government||| Other"
"374",6714084," North America","THE ROLE OF THE U.S. MAYORS AND URBAN FORESTS IN ADDRESSING CLIMATE CHANGE MITIGATION AND ADAPTATION","Tran, YL; Siry, JP; Bowker, JM; Poudyal, NC"," Increased frequency and intensity of extreme heat"," Institutional||| Technological/infrastructural||| Ecosystem-based"," Sustainable cities & communities"," Local government"
"375",6714085," Asia||| Central and South America||| Australasia||| Europe||| North America|||Africa","Transnational municipal networks: Harbingers of innovation for global adaptation governance?","Papin, M"," General climate impacts"," Institutional"," Sustainable cities & communities"," Civil Society- international/multinational/national"
"376",6714088," Europe","Quantifying the impact of adverse weather conditions on road network performance","Snelder, M; Calvert, S"," Extreme precipitation and inland flooding"," Institutional"," Health & wellbeing||| Industry/innovation/technology"," Local government"
"377",6714090," North America","Visualizing dynamic capabilities as adaptive capacity for municipal water governance","Widener, JM; Gliedt, TJ; Hartman, P"," Drought||| General climate impacts"," Institutional||| Technological/infrastructural"," Clean water & sanitation||| Sustainable cities & communities"," Local government||| Sub-national government||| Individuals or households"
"378",6714091," North America","Assessing Policy Capacity for Climate Change Adaptation: Governance Arrangements, Resource Deployments, and Analytical Skills in Canadian Infrastructure Policy Making","Craft, J; Howlett, M; Crawford, M; McNutt, K"," General climate impacts||| Precipitation variability||| Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat"," Institutional||| Technological/infrastructural"," Other2||| Industry/innovation/technology||| Sustainable cities & communities"," National government||| Sub-national government||| Private sector corporations"
"379",6714092," Asia","Climate change from the lens of Malolos children: perception, impact and adaptation","Berse, K"," Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat","Behavioural/cultural","Poverty||| Inequalities (Other than gender)"," Individuals or households||| Local government"
"380",6714094," Europe","""Sometimes Climate Adaptation is Politically Correct"": A Case Study of Planners and Politicians Negotiating Climate Adaptation in Waterfront Spatial Planning","Storbjork, S; Hjerpe, M","Sea level rise"," Institutional"," Sustainable cities & communities||| Marine & coastal ecosystem services||| Health & wellbeing"," Local government||| Civil Society- sub-national or local"
"381",6714095," Europe","The EU Floods Directive trickling down: tracing the ideas of integrated and participatory flood risk management in Sweden","Hedelin, B"," Extreme precipitation and inland flooding|||Sea level rise||| General climate impacts"," Institutional||| Technological/infrastructural||| Ecosystem-based|||Behavioural/cultural"," Sustainable cities & communities||| Clean water & sanitation||| Marine & coastal ecosystem services||| Work and economic growth"," Local government||| National government||| Sub-national government|||International or multinational governance institutions||| Civil Society- sub-national or local||| Individuals or households"
"382",6714096," Asia","Ecosystem services management: An evaluation of green adaptations for urban development in Dhaka, Bangladesh","Zinia, NJ; McShane, P"," No information or not assessed1||| General climate impacts"," Ecosystem-based|||Behavioural/cultural"," Consumption & production||| Health & wellbeing||| Sustainable cities & communities"," Individuals or households"
"383",6714097," Asia","The Indigenous Practices and Climate Change Responses of Ati and Suludnon Farmers in Iloilo, Philippines","Nelson, GLM; Zamora, OB; de Guzman, LEP; Tatlonghari, RV; Espaldon, MVO; Brillon, JA"," Extreme precipitation and inland flooding|||Sea level rise||| Other1||| Precipitation variability","Behavioural/cultural||| Technological/infrastructural||| Ecosystem-based"," Food security||| Other2||| Health & wellbeing"," Individuals or households||| Local government"
"384",6714098," Asia","Climate change adaptation planning for Global South megacities: the case of Dhaka","Araos, M; Ford, J; Berrang-Ford, L; Biesbroek, R; Moser, S"," Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise","Behavioural/cultural||| Institutional||| Technological/infrastructural"," Clean water & sanitation|||Poverty||| Food security"," Local government||| National government||| Civil Society- sub-national or local||| Civil Society- international/multinational/national||| Sub-national government||| Individuals or households|||International or multinational governance institutions"
"385",6714099," Europe","Aligning Climate Governance with Urban Water Management: Insights from Transnational City Networks","Tosun, J; Leopold, L"," Drought|||Sea level rise||| Extreme precipitation and inland flooding||| General climate impacts"," Institutional||| Technological/infrastructural"," Sustainable cities & communities||| Other2"," Local government||| Civil Society- international/multinational/national"
"386",6714101," North America","What drives public transit organizations in the United States to adapt to extreme weather events?","Miao, Q; Welch, EW; Zhang, FX; Sriraj, PS"," General climate impacts"," Institutional||| Technological/infrastructural"," Sustainable cities & communities"," Other"
"387",6714102," North America","Learning with practitioners: climate change adaptation priorities in a Canadian community","Picketts, IM; Curry, J; Dery, SJ; Cohen, SJ"," Other1||| Precipitation variability||| Extreme precipitation and inland flooding||| Drought"," Institutional"," Work and economic growth"," Local government"
"388",6714104," North America||| Europe","Institutional barriers to climate change adaptation in decentralised governance structures: Transport planning in England","Walker, BJA; Adger, WN; Russel, D"," No information or not assessed1||| Other1||| General climate impacts"," Institutional"," No information or not assessed2||| Other2"," Local government||| National government||| Sub-national government"
"389",6714105,"","Roadmaps for Adaptation Measures of Transportation to Climate Change","Stamos, I; Mitsakis, E; Grau, JMS"," General climate impacts"," Technological/infrastructural||| Institutional"," Sustainable cities & communities"," Civil Society- international/multinational/national|||International or multinational governance institutions||| Other||| Private sector corporations"
"390",6714106," Asia","Adaptation strategies for minimizing heat wave induced morbidity and its determinants","Bakhsh, K; Rauf, S; Zulfiqar, F"," Increased frequency and intensity of extreme heat","Behavioural/cultural"," Health & wellbeing"," Individuals or households||| Civil Society- sub-national or local"
"391",6714107," Asia","Individual, communal and institutional responses to climate change by low-income households in Khulna, Bangladesh","Haque, AN; Dodman, D; Hossain, MM"," Extreme precipitation and inland flooding||| Increased frequency and intensity of extreme heat"," Technological/infrastructural|||Behavioural/cultural","Poverty"," Individuals or households||| Local government||| Civil Society- sub-national or local"
"392",6714108," Europe","Toward more flood resilience: Is a diversification of flood risk management strategies the way forward?","Hegger, DLT; Driessen, PPJ; Wiering, M; van Rijswick, HFMW; Kundzewicz, ZW; Matczak, P; Crabbe, A; Raadgever, GT; Bakker, MHN; Priest, SJ; Larrue, C; Ek, K"," Extreme precipitation and inland flooding||| General climate impacts|||Sea level rise"," Technological/infrastructural||| Institutional||| Ecosystem-based"," Sustainable cities & communities||| Clean water & sanitation||| Health & wellbeing||| Terrestrial & freshwater ecosystem services||| Work and economic growth"," National government|||International or multinational governance institutions||| Individuals or households||| Local government||| Sub-national government"
"393",6714109," Australasia","Adapting to Climate Change: Lessons from Farmers and Peri-Urban Fringe Residents in South Australia","Robinson, GM; Bardsley, DK; Raymond, CM; Underwood, T; Moskwa, E; Weber, D; Waschl, N; Bardsley, AM"," Drought||| Increased frequency and intensity of extreme heat","Behavioural/cultural"," Work and economic growth"," Individuals or households||| Private sector SMEs||| Civil Society- sub-national or local"
"394",6714110," Asia","Climate Change Adaptation Measures in the Coastal City of Semarang, Indonesia: Current Practices and Performance","Wijaya, N"," Extreme precipitation and inland flooding||| Drought||| General climate impacts"," Institutional||| Technological/infrastructural"," Sustainable cities & communities"," Local government||| Individuals or households"
"395",6714113," Asia","The determinants of integrating policy-based and community-based adaptation into coastal hazard risk management: a resilience approach","Hung, H.-C.; Lu, Y.-T.; Hung, C.-H.","Sea level rise||| Extreme precipitation and inland flooding||| Other1","Behavioural/cultural||| Institutional||| Technological/infrastructural"," Health & wellbeing"," Individuals or households"
"396",6714114," Asia||| Australasia||| Central and South America||| Europe||| North America|||Africa","Climate change adaptation planning in large cities: A systematic global assessment","Araos, M; Berrang-Ford, L; Ford, JD; Austin, SE; Biesbroek, R; Lesnikowski, A"," General climate impacts"," Institutional||| Technological/infrastructural||| Ecosystem-based"," Sustainable cities & communities"," Local government"
"397",6714115," Asia","Indicators of urban climate resilience: A contextual approach","Tyler, S; Nugraha, E; Nguyen, HK; Nguyen, NV; Sari, AD; Thinpanga, P; Tran, TT; Verma, SS"," Extreme precipitation and inland flooding||| Precipitation variability||| General climate impacts"," Institutional|||Behavioural/cultural"," Health & wellbeing||| Sustainable cities & communities||| Clean water & sanitation"," Civil Society- international/multinational/national||| Sub-national government||| Local government||| Individuals or households||| Civil Society- sub-national or local"
"398",6714116," North America","Extreme Climate Events, Household Decision-Making and Transitions in the Immediate Aftermath of Hurricane Sandy","Solecki, W; Leichenko, R; Eisenhauer, D"," Other1||| Extreme precipitation and inland flooding|||Sea level rise","Behavioural/cultural||| Technological/infrastructural"," Sustainable cities & communities"," Individuals or households"
"399",6714117," Central and South America","Moving beyond short-term coping and adaptation","Wamsler, C; Brink, E"," Extreme precipitation and inland flooding|||Sea level rise||| Increased frequency and intensity of extreme heat||| General climate impacts||| Drought"," Technological/infrastructural|||Behavioural/cultural||| Institutional"," Sustainable cities & communities"," Individuals or households"
"400",6714118," Europe","Negotiating community resilience in the city in a time of political change and deficit reduction","Ali, F.M.M.; Jones, K."," Precipitation variability||| Extreme precipitation and inland flooding"," Institutional"," Sustainable cities & communities"," Local government||| National government|||International or multinational governance institutions||| Sub-national government||| Civil Society- international/multinational/national"
